,,,,,,,,,,,,,
,Topic,Common Core,,,NAEP 8th 2022,,,Misconceptions,,,,Gap,
,,,,,Sample Question 2017,Answer,,9. Misunderstanding the proportionality (or non-proportionality) of linear functions. Students often believe that linear functions are proportional simply because they increase (or decrease) at a constant rate.,,,,,
,,,,,"Jessica makes clay bowls.

The following equation relates the number of clay bowls, n, she makes and the total amount of money, d, in dollars, it costs her to make them.

d = 375 + 50n

Based on the equation, which of the following statements is true?

A. Without making any clay bowls, Jessica´s total cost is $50.
B. Without making any clay bowls, Jessica´s total cost is $375.
C. Each clay bowl Jessica makes decreases her total cost by $50.
D. Each clay bowl Jessica makes decreases her total cost by $375.
E. Each clay bowl Jessica makes costs $425","The correct answer is:

B. Without making any clay bowls, Jessica's total cost is $375.",,"W Van Dooren, D De Bock, A Hessels, D Janssens (2004)

In his toy box, John has dice in several sizes. The smallest one has a side of 10 mm and weighs 800 mg. What would be the weight of the largest die (with a side of 30 mm)?",Question,,,,
,,,,,,,,"Students discovered that some problems cannot be solved by applying proportions, they started applying non-proportional solution schemes to proportional problems too

This finding is in line withour previous research showing students’ strong tendency to produce linear answers in non-linear situations. Percentage correct answers (and standard deviations) of the experimental and control group on the non-proportional items at eachtest moment

Non-proportional items

Pretest 
Experimental:
29.2%
SD: 6.2
Control:
13.2%
SD: 6.4

Post-test:
Experimental:
61.1%
SD: 6.2

Retention test:
Experimental:
50.0%
SD: 6.2
Control:
16.1%
SD: 6.4",Answer,,,,
,,,,,,,,,,,,,
,2. Algebraic representations,,,,"Translate between different representations of linear expression using symbols, graphs, tables diagrams, or written descriptions",,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,"Analyze or interpret linear relationships expressed in symbols, graphs, tables, diagrams, or written descriptions",,,"Swafford and Langrall, 2000

Car Wash Problem (inverse variation)
Metro Car Sales hires washers to wash the cars in their lot. The manager knows that 36
washers can wash all the cars in 1 hour.
a) What if only half as many washers worked? How long would it take 18 washers to
wash all the cars? How long for 72 washers? How long for 9 washers? How long for
4 washers?
b) Describe how the manager could figure out how many hours it would take to wash
the cars for any size group of washers.
c) Write an equation for finding the number of hours it takes to wash the cars if you know

the number of washers. Let H represent the number of hours it takes, and let S repre-
sent the number of washers.

d) Can you use your equation to find how long it would take 10 washers?",Question,,,,
,,,,,,,,"In the Car Wash Problem, which is an inverse variation situation, students could
compute the time required to wash the cars given half or twice as many washers,
but they had difficulty computing the time required in other cases. Given that 36
washers take I hour, 9 of the 10 students responded that 18 washers would take
twice as long and 8 of the 10 students responded that 72 washers would take half
as long. When the 18 was halved to 9 washers, only 5 of the 10 students doubled
the time again. Four students used additive strategies such as the following:
S6: Three hours

... Well, if this takes 2 hours [for 18 to wash the cars] and there is half
as many ... , then it would take another hour. S4: Two and one half hours. (I: Okay, and how did you get that?) I knew it was 2 hours
for 18 and I just added another half hour to that.
For the question of how long it would take four washers to wash the cars, only one
student correctly answered 9 hours. Some estimated on the basis of their answers
for nine washers. For example, the following two students had correctly answered
that nine student washers would take 4 hours. They were asked how long it would
take four washers:
S1: Four students? This is just a guess, but 4 hours and 45 minutes. (I: How did you find
that? Just a guess or did you calculate it?) No, actually it is almost one person less than
half of 9, so then it is a quarter less.
S7: On the last thing we did was nine [washers] and nine had 4 hours. And what we have
been doing the whole time is just doubling it. So I'd say say 4 is about half of 9, so it would
have to equal twice the time, which is 8 [hours].",Answer,,,,
,,,,,,,,,,,,,
,,,,,Graph or interpret points represented by ordered pairs of numbers on a rectangular coordinate system,,,3. Inability to graph a function: reversing the x-coordinate and y-coordinate,,,,,
,,,,,Sample Question 2022,Answer,,,Question,,,,
,,,,,,,,,Answer,,,,
,,,,,Sample Question 2022,Answer,,"4.Difficulty plotting points - reversed x- and y-coordinate
",,,,,
,,,,,,,,"Bush, S. (2011)",Question,,,,
,,,,,,,,,,,,,
,,,,,,,,"Some students had difficulty plotting points, often reversing the x-
coordinate and y-coordinate. Several students plotted some of the ordered pairs correctly, but omitted at least one of the ordered pairs (typically the last one). Overall, 35% of
open-responses had all ordered pairs plotted correctly and 10% omitted one ordered pair
but the rest were plotted correctly. In addition, 15% of students did something other than
plotting the ordered pairs including: making bar graphs going up to where the ordered
pair would be on the y-axis (5%), making boxes which included some of the ordered pairs
(5%), and drawing lines in which the top of the line would stop at the y-coordinate of the
ordered pair (5%). Additionally, 40% plotted points incorrectly. Of this 40%, 20% reversed the x- and y-coordinate on at least one of the ordered pairs while the other 20%
plotted at least one point incorrectly (but not by reversing x- and y-coordinates).",Answer,,,,
,,,,,,,,,,,,,
,,,,,Solve problems involving coordinate pairs on the rectangular coordinate system,,,,,,,,
,,,,,,,,5. Difficulty understanding the concept of the independent and dependent variables ,,,,,
,,,,,"Identify or represent functional relationships in meaningful context including proportional, linear, and common nonlinear (e.g., compound interest, bacterial growth) in tables, graphs, words, or symbols.",,,,,,,,
,,,,,Sample Question 2022,Answer,,,,,,,
,,,,,,"""The correct answer is:

A. m = 45d""",,,,,,,
,,,,,,,,,,,,,
,"3. Variables, expressions, and operations",,,,"Write algebraic expressions, equations, or inequalities to represent a situation",,,"With expressions involving subtraction, students would incorrectly write an expression such as 4 - n instead of n - 4.",,,,,
,,,,,Sample Question 2022,Answer ,,"M. M. Capraro and Joffrion, 2006

Write the expression that represents: “Tachi is exactly one year older than Bill” if T represented Tachi’s age and B, Bill’s age.",Question ,,,,
,,,,,,,,"Score and indicator:

1—Student gave T = B + 1 or an equivalent equation 

43.1%

0—Student transposed T and B 14.3%

0—Student gave any other response 36%

0—Student left answer blank 5.9%",Answer,,,,
,,,,,,,,,,,,,
,,"7.EE.A.1
Apply properties of operations as strategies to add, subtract, factor, and expand linear expressions with rational coefficients.",,,"Perform basic operations, using appropriate tools, on linear algebraic expressions (including grouping and order of multiple operations involving basic operations, exponents, roots, simplifying, and expanding).",,,1.Incorrectly viewing variables as labels or units or Believing that that the value of a variable has something to do with its position in the alphabet,,,,,
,,,,,Sample Question 2022,Answer,,"Herscovics, N., & Kieran, C. (1980)

 David is 10 cm taller than Con. Con is h cm tall. What can you write for David's height?",Question ,"MacGregor and Stacey (1997)

Sue weighs 1 kg less than Chris. Chris weighs y kg. What can you write for Sue's weight?",,,
,,,,,"Which of the following expressions is equivalent to 20(9 + 5)?

A. 9(20 + 5)
B. 20(5 + 9)
C. 20(9) + 5
D. (20 + 9)5
E. 20 + (9) (5)",B. 20(5 + 9),,"Responses to item DAVID from 14 students.

Response: 10 + h [correct] Frequency: 1 Assumed reasoning: Add 10 to number or quantity denoted by h. 

Response: Uh Frequency: 1 Assumed reasoning: Abbreviated words 'Unknown height'

 Response: 18 Frequency: 2 Assumed reasoning: h is the 8th letter of alphabet, therefore 1 0 more is the 18t

Response: 110 Frequency: 2 Assumed reasoning: Think of a reasonable height for Con, add 10

Response: t, g Frequency: 2 Assumed reasoning: Choose another letter or adjacent letter for David's height

Response: 10, 20, 'half' Frequency: 5 Assumed reasoning: No comprehension of the question; use of the given value 10 and operations 'double' or 'half'.",Answer,"Responses to item SUE from 14 students. 

Response: y - 1 Frequency: 1 Assumed reasoning: (Subtract I from number or quantity denoted by y)

 Response: x Frequency: 1 Assumed reasoning: (Although 10 can be 'joined' to h, as lOh, 1 cannot be 'removed' from y. To denote I less than y, write x)

Response: Uw Frequency: 1 Assumed reasoning: (to mean 'Unknown weight') 

Response: 24 Frequency: 2 Assumed reasoning: (y is the 25th letter, therefore 1 less is 24)

Response: [no response] Frequency: 2

Response: o, x Frequency: 2 Assumed reasoning: (Choose another letter or adjacent letter)

Response: 1 Frequency: 4 Assumed reasoning: (No comprehension of the question; use of the given value 1)

Response: [no response] Frequency: 1",,,
,,"8.EE.A.1
Know and apply the properties of integer exponents to generate equivalent numerical expressions.",,,,,,2. Believing that two variables in the same equation cannot represent the same value,,3. Failing to understand that variables can represent varying quantities,,,
,,,,,"Subtract.

-3-8=

A. -11
B. -5
C. 5
D. 11
E. 24",A. -11,,"Stephens (2005)

 h + m + n = h + p + n always, sometimes, or never true?",Question,"Asquith et al. (2007)

Which is larger task: Can you tell which is larger, 3n or n + 6? Please explain your answer",,,
,,,,,,,,"(N = 371)

Grade:                                          6                 7               8
Always true                                 9.0%         9.6%        8.9%
Sometimes true                         27.0%      36.8%       45.2%
Never true                                  26.2%       18.4%      27.4%
No response/don´t know        34.4%       30.7%      16.3% 
Other                                           3.3%         4.4%        2.2% ",Anwer,"Which is
larger-judgment:             6th 7th 8th  T
Can’t tell                          9    3    4   16
3n                                    5    5    2   12
n + 6                                6    2    1    9
No response/Don’t know 8    6    2  16",,,
,,,,,,,,4. Believing that the commutative and associative properties are true for subtraction and division,,,,,
,,,,,,,,"Linchevski, L., & Livneh, D. (1999)

The students were asked: ""Without using the calculator, just by looking at the numbers and the operations, can you tell which expressions will give the same answer?""

(a) 926 + 167-167 =?
(b) 926-167- 167 =?
(c) 926- 167 + 167 =?
(d) 926-(167 + 167) =?",Question ,,,,
,,,,,,,,"all students matched only pairs. If the student stopped after one matching the interviewer asked, ""What about the others?"" Most of the students who did not match (a) with (c) offered an explan- ation based on the surface structure of the expressions. As one of them said, ""They are not the same. Here (pointing at (a)), you have addition and subtraction and here (pointing at (c)), subtraction and addition"". Eight students did not see the equivalence because of detachment - they put mental brackets around 167 + 167 in (c), viewing it as 926 - (167 + 167). Another 21 students matched (c) [926 - 167 + 167] with (d) [926 - (167 + 167)], thereby demonstrating a detachment of the minus sign from the indicated term. As one of the students said, ""(c) and (d) are the same; they have the same numbers, the same operations and the same order"". He was then asked, ""But in (d) there are brackets. Don't they make any difference?"" He answered, ""You are supposed to do first what is in the brackets, and in (c) I judge what to do by observation"". A",Answer,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,4. Equations and inequalities,"7.EE.A.2
Understand that rewriting an expression in different forms in a problem context can shed light on the problem and how the quantities in it are related.","8.EE.C.7
Solve linear equations in one variable.",,"Solve linear equations or inequalities (e.g., ax +b = c or ac +b = cx +d or ax +b > c).",,,1. Struggle with the multiple meanings and uses of variables,,2. Difficulty with the syntax of algebraic notation,,,
,,,,,Sample Question 2022,Answer ,,"Asquith et al. (2007)

Which is larger task
Can you tell which is larger, 3n or n + 6? Please explain your answer.
",Question,"Novotna, J., & Hoch, M. (2008)

",,,
,,,,,,,,,,,,,
,,"8.EE.C.8
Analyze and solve pairs of simultaneous linear equations.",,,,,,"Correct answer: you can’t tell which is larger

The sixth- and eighth-grade teachers, underestimated the proportion of students who would hold misconceptions, expecting variable justifications to accompany correct judgments.

38% of the sixth- and seventh-graders gave the n + 6 or 3n response, only 4% of their justifications were based on the operation. Sixty-seven percent of the 3n responses were not justified or lacked a clear explanation and 44% of the n + 6 responses were justified by the explanation that 6 is greater than 3, indicating that students who had difficulty tended to focus on the numbers present in the task rather than on the operations

Proportion of Student Responses of Each Type and Average Teacher Prediction of Proportion of Student Responses of Each Type for the Judgment of Which is Larger

Judgement: Can’t tell
6th Student 0.18 - Teacher 0.28
7th Student 0.54 - Teacher 0.20 
8th Student 0.64 - Teacher 0.76

Judgement: 3n
6th Student 0.13 - Teacher 0.06
7th Student 0.05 - Teacher 0.37 
8th Student 0.16 - Teacher 0.06

Judgement: n + 6
6th Student 0.41 - Teacher 0.18
7th Student 0.18 - Teacher 0.03 
8th Student 0.16 - Teacher 0.00

Judgement: Other
6th Student 0.00 - Teacher 0.06
7th Student 0.00 - Teacher 0.12
8th Student 0.00 - Teacher 0.00

Judgement: No response/ Don’t know
6th Student 0.28 - Teacher 0.42
7th Student 0.23 - Teacher 0.28
8th Student 0.04 - Teacher 0.18",Answer,"Success in solving a task by 1, and failure by 0.
Examples from the test:
(1, 1, , ) occurred in 18 cases divided as follows:
• (1, 1, 0, 0): 6 students [indicating HS (High School) structure sense developed, no UA (University algebra) structure sense]
• (1, 1, 1, 0): 8 students [indicating HS structure sense developed, SSE-3 (UA) developed, SSP (UA) lacking]
• (1, 1, 1, 1): 4 students [indicating HS and UA structure sense developed] (0, 0, , ) occurred in 2 cases divided as follows:
• (0, 0, 0, 0): 1 student [indicating neither HS nor UA structure sense]
• (0, 0, 1, 0): 1 student [we explained this case in the remark in R1-1: The student remembered that a denominator cannot equal 0 and did not need to use HS structure sense—he did not simplify the expression]

Although there were other foursomes, most of them were unique cases; we mention only those that occurred more frequently:
• (1, 0, 0, 0): 3 students [no UA structure sense]
• (1, 0, 1, 0): 4 students [SSE-3 (UA) developed, SSP (UA) lacking]
All, (bar one, explained above) of these cases could be explained by our hypotheses.
SSE (Structure Sense as Applied to Elements of Sets and the Notion of Binary Operation)
SSP (Structure Sense as Applied to Properties of Binary Operations)
R1-1: A student who does not have a high level of structure sense 2 (HS) cannot display a high level of SSE-2 (UA).
",,,
,,,,,,,,,,,,,
,,"6.EE.A.4
        Identify when two expressions are equivalent (i.e., when the two expressions name the same number regardless of which value is substituted into them).","6.EE.B.5
Understand solving an equation or inequality as a process of answering a question: which values from a specified set, if any, make the equation or inequality true? Use substitution to determine whether a given number in a specified set makes an equation or inequality true.",,Interpret “=” as an equivalence between two expressions and use these interpretations to solve problems.,,,3. Believing that the equal sign means “the answer is” rather than expressing a relationship,,,,,
,,,,,,,,"Baroudi (2006)

Solve the following problem 8 + 4 = [ ] + 5",Question,,,,
,,,,,,,,All the students thought that either 12 or 17 was the correct answer,Answer,,,,
,,,,,,,,,,,,,
,,,,,,,,"L Linchevski, N Herscovics (1996)

Students were shown the following equation on a balance: 5n + 3n + 11 = 5n + 11 + 39 and asked if they noticed any equal terms on both sides and if they thought those terms could be removed. Next, students were asked to solve the remaining equation, 3n = 39. Once the equation was solved, n = 13, students were asked if this solution was also true for the original equation, 5n + 3n + 11 = 5n + 11 + 39.",Question,,,,
,,,,,,,,Some students were not confident that the solution was true for the original equation and had to check by substituting n = 13 into the original equation,Answer,,,,
,,,,,,,,,,,,,
,,"7.EE.B.4
Use variables to represent quantities in a real-world or mathematical problem, and construct simple equations and inequalities to solve problems by reasoning about the quantities.","6.EE.B.7
Solve real-world and mathematical problems by writing and solving equations of the form x + p = q and px = q for cases in which p, q and x are all nonnegative rational numbers.",,"Analyze situations or solve problems using linear equations and inequalities with rational coefficients symbolically or graphically (e.g., ax +b = c or ax +b = cx +b)",,,4. Not checking their solution or error in checking their solution,,5. Symbolic notation,,,
,,,,,,,,"Perrenet & Wolters, 1994

7 - 1/2 n = 18",Question ,"Swafford & Langrall (2000)

Car Wash Problem (inverse variation)
Metro Car Sales hires washers to wash the cars in their lot. The manager knows that 36
washers can wash all the cars in 1 hour.
a) What if only half as many washers worked? How long would it take 18 washers to
wash all the cars? How long for 72 washers? How long for 9 washers? How long for
4 washers?
b) Describe how the manager could figure out how many hours it would take to wash
the cars for any size group of washers.
c) Write an equation for finding the number of hours it takes to wash the cars if you know
the number of washers. Let H represent the number of hours it takes, and let S represent the number of washers.
d) Can you use your equation to find how long it would take 10 washers?",,,
,,,,,Sample Question 2022,Answer ,,"Student 1:

Solving:

7 - 1/2 = 18

- 1/2 = 11

n = 22


Checking:

7 - 1/2 · 22 = 18

7 + 11 = 18

18 = 18


Student 2:

Solving:

7 - 1/2 n = 18

7 - 1/2 n + 7 = 18 + 7

- 1/2 n = 25

1 n = 50


Checking:

7 - 25 = 18

OK",Answer,"They had difficulty computing the time required in other cases. Given that 36 washers take I hour, 9 of the 10 students responded that 18 washers would take twice as long and 8 of the 10 students responded that 72 washers would take half as long. When the 18 was halved to 9 washers, only 5 of the 10 students doubled the time again. only one student correctly answered",,,
,,"6.EE.B.8
Write an inequality of the form x > c or x < c to represent a constraint or condition in a real-world or mathematical problem. Recognize that inequalities of the form x > c or x < c have infinitely many solutions; represent solutions of such inequalities on number line diagrams.",,,,"Sample Correct Response:

(a) Correct selection:

The monthly fee of Gym A is less than the monthly fee of Gym B.

(b) Explanation:

Gym A has a higher initial fee than Gym B. The two gyms have the same total cost after 12 months, so in order for the total cost of Gym B to reach to the total cost of Gym A, the monthly fee for Gym A must be less than the monthly fee for Gym B.",,6. Reversal order error,,7. Combining (or not combining) like term,,,
,,,,,,,,"Swan (2020)

There are six times as many students as professors at this universit",Question,"

1. 2x + x = 24    x = 2
22 + 2 = 24

2. 3x + 2x = 50     x = 0
30 + 20 = 50",,,
,,,,,,,,"Typical incorrect answer 52%  ""6S = P""",Answer,,,,
,,,,,,,,,,,,,
,,,,,,,,8. Inverse operations,,,,,
,,,,,,,,"

1. 6 (1 + 4x) + 2 = 6 (5x) + 2
                       = 30x + 2

2. 7 + 5 (2 + 3x) = 7 + 5 (5x)
                       = 7 + 25x","Question/
answer",,,,
,,"8.EE.B.5
Graph proportional relationships, interpreting the unit rate as the slope of the graph. Compare two different proportional relationships represented in different ways.","8.F.B.4
Construct a function to model a linear relationship between two quantities. Determine the rate of change and initial value of the function from a description of a relationship or from two (x, y) values, including reading these from a table or from a graph. Interpret the rate of change and initial value of a linear function in terms of the situation it models, and in terms of its graph or a table of values.",,"Interpret relationships between symbolic linear expressions and graph of lines by identifying and computing slope and intercepts (e.g., known in y = ax +b, that a is the rate of charge and b is the vertical intercept of the graph).",,,,,,,,
,,,,,Sample Question 2017,Answer,,,,,,,
,,,,,,,,,,,,,
,,,,,Sample Question 2022,Answer,,,,,,,
,,,,,"Wich of the following statements must be true about any two distinct lines that intersect at exactly one point in the xy-plane?

A. The slopes of the lines must be equal.
B. The y-intercepts of the lines must be equak.
C. The slopes of the lines cannot be equal.
D. The y-intercepts of the lines cannot be equal.","Sample Correct Response:

(a) Correct selection:

C. The slopes of the lines cannot be equal.

(b) Explanation:

The slopes cannot be equal because if they were equal, the lines would be parallel. Distinct parallel lines do not intersect.

NOTES:

Acceptable explanations include those that address the idea that if two lines in the xy-plane have the same slope then they would either

- not intersect, or
- be parallel, or
- be the same line, or
- intersect in infinitely many points.

Partially acceptable explanations include those that give an acceptable explanation with additional incorrect information.",,,,,,,
,,,,,,,,,,,,,
,,,,,"Use and evaluate common formulas (e.g., relationship between a circle’s circumference and diameter [C = pi d], distance and time under constant speed).",,,,,,,,
,,,,,Sample Question 2022,Answer,,,,,,,
,,,,,,,,,,,,,
,,,,,Sample Question 2017,Answer,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Extra,,,,,,,,,,,,
,Solve problem using division,,,,Andrea works in a flower shop ans is making bows. Eache bow requires a 4-foot piece of ribbon. She has 158 feet of ribbon on a roll. What is the greatest number of these bows Andrea can make from the roll of ribbon?,"Answer: 39 bows

Solution (not required in response):

158 ÷ 4 = 39 1/2

Therefore, she can make 39 bows.",,,,,,,12
,Subtract integers,,,,Subtract integers,"Subtract.

-3-8=

A. -11
B. -5
C. 5
D. 11
E. 24",,,,,,,
